Tstart,Tinterval,ExtraSamples,RequestedLength,Length,A,B
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.035981323570013,-0.178228095173836
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.00897244177758694,0.709860503673553
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.0180364400148392,1.77556693553925
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.0450453199446201,2.66426587104797
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.0765556842088699,3.55235457420349
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.0990630835294724,4.44044303894043
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.126071959733963,5.32914209365845
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.148579359054565,6.21723079681396
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.171086758375168,6.75069427490234
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.189092680811882,7.63878297805786
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.207098603248596,8.17163562774658
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.22510452568531,8.70510005950928
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.238608971238136,9.06033515930176
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.247611925005913,9.23795318603516
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.25661489367485,9.59318828582764
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,9.77080631256104
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,9.77080631256104
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,9.59318828582764
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,9.41557025909424
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.25661489367485,9.23795318603516
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.247611925005913,8.88271713256836
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.238608971238136,8.52748203277588
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.22510452568531,7.8164005279541
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.211600080132484,7.28354740142822
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.189092680811882,6.5730767250061
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.171086758375168,5.86199522018433
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.153080850839615,5.15152454376221
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.130573436617851,4.26282548904419
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.108066044747829,3.19711899757385
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.0855586379766464,2.30841994285583
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.0585497617721558,1.4203314781189
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.036042358726263,0.532242774963379
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,0.00903347879648209,-0.533463537693024
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.0179754011332989,-1.4221625328064
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.0449842810630798,-2.48786878585815
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.0674916803836823,-3.37656784057617
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.0899990871548653,-4.26465654373169
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.117007963359356,-4.97573757171631
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.13501387834549,-5.86382627487183
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.157521292567253,-6.5742974281311
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.180028691887856,-7.28537845611572
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.19353312253952,-7.8182315826416
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.207037568092346,-8.52870273590088
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.22504349052906,-8.88454818725586
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.238547936081886,-9.23978424072266
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,-9.41740131378174
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.252052366733551,-9.59501934051514
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,-9.77263736724854
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,-9.59501934051514
-1.72553995980707e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,-9.59501934051514
