Tstart,Tinterval,ExtraSamples,RequestedLength,Length,A,B
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.130573436617851,-0.533463537693024
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.108066044747829,0.709860503673553
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.0810571610927582,1.4203314781189
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.0540482811629772,2.48603773117065
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.0270393993705511,3.37473678588867
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.00447096163406968,4.26282548904419
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.026978362351656,5.15152454376221
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.0584887228906155,5.86199522018433
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.0809961259365082,6.5730767250061
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.108005002140999,7.28354740142822
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.13501387834549,7.8164005279541
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.153019800782204,8.52748203277588
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.180028691887856,8.88271713256836
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.19803461432457,9.23795318603516
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.216040521860123,9.41557025909424
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.234046444296837,9.77080631256104
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,9.77080631256104
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,9.77080631256104
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.265556812286377,9.41557025909424
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.270058304071426,9.23795318603516
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.279061257839203,9.06033515930176
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.279061257839203,8.52748203277588
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.279061257839203,7.9940185546875
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.274559766054153,7.46116542816162
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.265556812286377,6.75069427490234
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,6.03961324691772
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,5.32914209365845
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.229544967412949,4.44044303894043
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.207037568092346,3.55235457420349
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.189031645655632,2.66426587104797
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.171025723218918,1.77556693553925
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.148518323898315,0.709860503673553
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.121509447693825,-0.178228095173836
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.0990020483732224,-1.24454486370087
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.0719931647181511,-2.13263344764709
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.0404828041791916,-3.02072215080261
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,-0.00897244177758694,-4.08703899383545
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.0180364400148392,-4.97573757171631
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.0450453199446201,-5.68620872497559
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.0765556842088699,-6.39667940139771
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.103564560413361,-7.28537845611572
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.130573436617851,-7.8182315826416
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.153080850839615,-8.35108470916748
-2.08938004675474e-07,1.59999999027605e-07,0,6250,6250,0.180089727044106,-8.88454818725586
