Tstart,Tinterval,ExtraSamples,RequestedLength,Length,A,B
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.16658528149128,-1.06631672382355
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.184591203927994,-0.000610370188951492
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.202597126364708,0.887478232383728
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.220603048801422,1.77556693553925
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.234107479453087,2.84188365936279
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,3.72997212409973
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.25661489367485,4.61867141723633
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,5.50675964355469
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,6.21723079681396
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,6.92831182479858
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,7.63878297805786
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.25661489367485,8.17163562774658
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.252113401889801,8.70510005950928
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,9.23795318603516
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.22510452568531,9.23795318603516
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.211600080132484,9.59318828582764
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.19809564948082,9.77080631256104
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.180089727044106,9.77080631256104
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.157582327723503,9.77080631256104
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.139576405286789,9.41557025909424
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.117069005966187,9.23795318603516
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.0900601223111153,8.88271713256836
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.063051238656044,8.34986400604248
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.0450453199446201,7.8164005279541
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,0.0135349594056606,7.10592985153198
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.00897244177758694,6.39545869827271
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.035981323570013,5.68437767028809
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.062990203499794,4.97390651702881
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.0854976028203964,4.08520746231079
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.112506486475468,3.19711899757385
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.13501387834549,2.30841994285583
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.153019800782204,1.4203314781189
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.171025723218918,0.354625076055527
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.189031645655632,-0.711081266403198
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.207037568092346,-1.59978032112122
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.220542013645172,-2.48786878585815
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.234046444296837,-3.55418562889099
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,-4.44227409362793
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.247550889849663,-5.15335559844971
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,-6.04144430160522
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,-6.93014335632324
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,-7.46299648284912
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,-7.995849609375
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.252052366733551,-8.52870273590088
-3.18477987093502e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,-9.06216621398926
